short_name,nationality_name,pace,shooting,passing,dribbling,defending,attacking_crossing,attacking_finishing,skill_long_passing,skill_ball_control,movement_acceleration,movement_agility,power_shot_power,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_reflexes,goalkeeping_speed
A. Artean,Romania,69,62,59,61,64,50,53,64,59,68,66,74,65,65,10,8,6,
J. Carls,Germany,84,56,56,66,57,59,55,62,64,85,74,63,62,62,15,5,6,
S. Cabrera,Chile,71,38,58,63,61,67,37,51,63,73,75,47,58,61,7,10,8,
D. Kother,Germany,76,60,54,70,21,64,64,42,69,78,77,58,16,18,9,9,8,
L. Mbe Soh,France,61,29,49,48,66,49,25,48,60,62,38,39,66,66,9,8,10,
Y. Hasegawa,Japan,54,46,65,64,60,57,38,75,69,61,57,56,62,57,5,13,14,
J. Chougrani,France,79,28,53,57,65,63,26,54,63,74,60,40,67,63,8,10,8,
Sergio Camello,Spain,68,66,52,67,24,37,68,42,68,67,58,63,18,13,13,8,11,
Zé Uilton,Brazil,74,58,59,69,27,64,64,45,68,76,78,53,39,36,9,7,6,
H. Fernández,Paraguay,76,59,63,65,43,65,65,61,61,75,70,60,40,49,11,8,13,
F. Cardozo,Paraguay,72,53,58,69,26,67,51,43,69,74,82,73,27,22,7,7,13,
K. Imeri,Switzerland,71,65,64,69,56,58,65,64,68,70,82,71,59,57,13,11,12,
M. Svoboda,Austria,58,41,53,58,65,40,36,60,64,52,40,59,66,62,5,9,11,
M. Ekpiteta,England,69,28,46,51,65,39,24,47,55,70,44,39,67,63,7,10,6,
L. Greiml,Austria,57,30,48,46,66,25,23,58,51,54,67,42,70,68,13,13,8,
S. Sonnenberg,Germany,62,28,41,49,66,28,24,58,54,60,54,44,69,64,15,9,8,
J. Marx,Germany,90,38,52,64,55,64,30,44,59,91,87,47,58,61,13,13,7,
J. Gaari,Curacao,75,40,52,63,62,57,28,41,61,74,66,57,62,63,8,13,11,
D. Köhn,Germany,82,46,65,68,57,68,40,68,69,79,74,56,61,61,9,14,13,
J. Holúbek,Slovakia,73,25,51,61,62,62,20,52,63,73,61,24,66,63,6,11,12,
Larrazabal,Spain,78,61,61,66,48,70,59,55,62,80,81,69,53,47,7,9,9,
M. Aioani,Romania,,,,,,13,8,25,14,25,37,47,13,13,67,62,68,24
C. Neguț,Romania,80,57,62,67,30,64,57,62,65,80,82,65,24,33,12,13,13,
M. Domański,Poland,77,66,63,66,56,66,65,60,63,78,83,68,51,44,14,6,10,
M. Miers,Paraguay,55,34,42,44,69,39,28,40,48,53,52,49,76,74,6,10,11,
B. Sam,South Africa,75,30,54,62,63,59,30,52,65,77,54,28,68,67,13,15,12,
J. Bay,Argentina,73,47,54,65,62,68,40,45,61,74,67,64,65,63,11,5,11,
M. Balda,Ecuador,72,63,62,65,54,51,59,64,64,72,70,72,59,37,9,6,9,
W. Coulibaly,France,71,35,54,60,62,60,23,51,60,70,68,59,65,64,6,8,6,
T. Huk,Slovakia,63,29,47,44,66,35,23,55,49,60,45,50,67,65,7,6,8,
K. Klefisch,Germany,67,52,55,62,64,48,48,59,64,67,66,63,67,67,14,9,10,
Tiago Dantas,Portugal,70,53,69,73,42,63,54,68,71,73,84,61,40,39,9,15,6,
I. Van der Brempt,Belgium,74,52,57,64,60,62,55,59,64,67,64,60,66,64,5,14,14,
N. Dyhr,Denmark,78,52,60,65,60,64,52,60,65,76,75,57,63,60,13,13,11,
G. Fernández,Uruguay,77,63,57,61,47,55,63,60,60,71,66,64,40,35,12,10,5,
U. Akyol,Germany,67,49,63,67,66,51,46,71,70,64,63,55,70,64,8,6,7,
R. Hendriks,Netherlands,70,33,54,57,66,46,29,63,62,69,65,47,68,71,12,13,13,
Berto,Spain,84,65,60,66,35,64,69,56,63,82,82,63,38,31,7,8,13,
A. Gómez,Venezuela,63,62,63,67,46,52,60,58,70,62,63,65,59,44,7,6,6,
S. Tanaka,Japan,56,39,57,57,66,56,33,68,66,52,56,56,66,66,9,11,9,
K. Koindredi,France,66,67,67,67,45,59,58,66,68,68,65,78,43,48,12,9,10,
Saúl Crespo,Spain,61,52,61,61,63,50,52,65,64,61,59,56,63,63,10,11,8,
B. Rollheiser,Argentina,78,62,60,71,32,62,60,58,68,80,77,67,33,29,5,7,7,
Diogo Sousa,Portugal,,,,,,10,5,23,17,28,32,45,13,13,67,64,66,33
Riquelme,Spain,76,62,57,69,40,49,65,55,68,76,77,58,39,38,9,10,12,
M. Aničić,Bosnia and Herzegovina,51,33,45,40,67,26,26,64,41,55,43,60,71,68,10,10,9,
Jota Gonçalves,Portugal,58,31,33,49,68,28,26,28,58,61,51,47,70,69,13,5,5,
I. Jack,Nigeria,55,45,58,61,63,49,39,60,65,54,68,55,64,62,13,7,15,
H. Ortega,Mexico,53,32,42,46,67,27,29,50,51,51,31,40,70,63,8,15,15,
A. Atouchi,Morocco,59,37,40,40,69,30,37,46,40,57,50,41,70,66,8,8,7,
M. Taabouni,Netherlands,76,55,62,72,43,50,54,61,70,78,81,59,50,56,12,6,12,
A. Doughty,England,82,46,59,62,56,64,45,58,61,83,64,50,59,55,15,10,5,
A. Rouault,France,64,30,48,47,65,31,25,59,58,66,54,44,67,66,6,15,8,
W. Singo,Côte d'Ivoire,77,40,57,67,62,67,38,55,67,72,67,43,70,68,11,6,7,
V. Zagaritis,Greece,76,42,51,63,63,58,33,53,60,76,69,60,66,65,13,9,13,
Félix Correia,Portugal,82,58,57,73,32,60,58,52,68,84,82,64,38,32,10,9,6,
A. Tapsoba,Burkina Faso,83,66,51,70,22,50,67,40,72,84,81,69,18,19,8,6,7,
A. Cougo,Uruguay,79,52,59,60,57,61,58,62,58,78,76,42,57,62,7,8,9,
R. Redes,Paraguay,79,62,63,68,45,60,66,60,62,78,73,57,47,39,10,8,8,
F. Franco,Paraguay,76,41,62,61,62,59,28,66,60,75,68,50,62,64,14,13,8,
N. Acevedo,Uruguay,77,55,59,65,65,48,57,65,63,75,76,52,63,64,9,10,14,
J. Trasante,Uruguay,64,57,57,64,62,46,52,58,64,71,61,70,71,65,11,13,13,
J. Chalá,Ecuador,80,60,60,67,33,65,62,52,62,79,77,56,35,33,6,7,15,
O. Edvardsen,Norway,90,60,55,69,46,55,64,51,65,92,87,59,48,50,12,6,12,
D. Yongwa,Cameroon,83,40,59,64,58,63,41,55,60,80,84,35,64,67,7,11,13,
E. Pérez,Bolivia,77,54,60,67,46,60,60,58,60,77,75,45,34,36,16,14,14,
D. Febles,Venezuela,71,63,47,59,33,41,65,36,59,76,48,58,25,22,8,11,9,
M. Villarroel,Bolivia,64,54,63,64,56,45,50,70,61,67,62,59,63,51,12,9,7,
R. Solís,Peru,,,,,,16,14,20,19,41,39,45,15,14,66,69,65,40
E. Franco,Peru,,,,,,19,14,21,23,38,52,47,19,13,64,67,66,37
J. Reyes,Peru,71,32,56,58,61,69,30,59,70,70,68,33,64,62,12,13,11,
B. Velarde,Peru,53,28,44,46,65,28,23,33,63,44,37,41,64,65,12,13,13,
A. Ferro,Venezuela,65,38,55,60,67,48,31,63,62,67,65,55,68,64,10,8,6,
G. Castillo,Uruguay,61,42,46,48,68,45,43,46,65,59,58,45,68,65,8,15,9,
J. Barco,Peru,54,59,69,62,65,68,50,64,65,59,59,66,60,55,7,8,14,
L. Bolívar,Venezuela,66,50,61,65,63,62,48,65,61,68,61,45,63,62,13,11,6,
R. Hernández,Venezuela,71,63,61,68,41,65,65,57,72,73,66,70,43,38,12,9,10,
J. Mancín,Venezuela,68,62,68,68,52,70,60,62,69,68,74,68,55,51,7,14,14,
A. Osorio,Peru,56,67,57,58,31,58,70,48,55,54,63,70,25,18,14,5,5,
L. Ayala,Ecuador,74,55,61,65,62,65,50,56,64,75,71,64,63,60,9,8,15,
C. Diez,Peru,53,61,64,58,64,50,59,64,57,56,56,70,64,63,8,9,6,
C. Cuero,Ecuador,82,43,56,56,60,61,41,55,55,79,66,46,67,65,14,8,6,
A. Alvarado,Ecuador,74,58,60,66,35,61,59,53,60,73,76,58,13,15,10,15,13,
L. Iberico,Peru,69,66,51,66,25,38,73,50,64,68,61,60,23,19,10,12,14,
S. Asan,Turkey,70,44,55,64,64,61,30,55,61,67,58,64,65,60,10,9,9,
P. Gueye,Senegal,75,64,54,67,21,53,65,50,66,73,68,69,19,12,7,9,11,
A. Ale,Uruguay,62,35,49,50,65,48,37,55,60,63,55,34,70,61,8,9,12,
S. Mijnans,Netherlands,75,60,63,66,54,64,57,61,66,77,75,67,55,53,13,10,10,
M. Rabuñal,Uruguay,59,41,58,58,65,49,35,65,63,55,54,57,63,63,8,13,6,
Valera,Spain,80,60,61,67,26,65,63,59,66,75,71,63,24,23,7,12,12,
S. Abe,Japan,70,62,63,66,62,62,58,65,66,78,75,69,66,64,8,12,11,
J. Perlaza,Ecuador,76,58,60,65,29,65,57,55,63,75,55,66,28,27,10,10,7,
A. Șeroni,Romania,32,34,42,42,65,35,35,45,39,33,49,33,66,69,6,9,6,
B. Martínez,Argentina,82,61,56,72,39,55,62,56,68,81,80,64,32,37,12,12,5,
R. Villagra,Argentina,66,47,62,64,61,58,38,63,68,68,62,68,65,61,11,6,14,
E. Valencia,Chile,70,63,63,69,59,57,64,66,70,70,72,61,63,61,7,9,10,
T. Escalante,Argentina,72,58,65,70,56,57,58,65,68,71,78,63,60,57,13,12,10,
Lobete,Spain,70,65,48,66,23,42,70,44,69,75,70,65,13,15,7,13,5,
D. Velkovski,Bulgaria,69,51,59,63,63,63,47,59,65,61,60,60,65,66,7,11,8,
N. Geyrhofer,Austria,57,27,40,46,66,24,21,48,56,51,40,36,66,65,11,15,13,
J. Doig,Scotland,72,54,58,63,63,64,47,55,61,71,73,71,67,64,15,6,11,
Y. Matsuo,Japan,84,61,60,68,58,57,62,59,65,81,79,58,63,59,14,12,11,
A. Timossi Andersson,Sweden,81,58,60,67,30,63,62,57,66,78,83,58,33,30,10,8,6,
N. Sosa,Uruguay,54,67,52,63,25,37,70,38,61,55,55,62,17,18,5,13,9,
K. Chodyna,Poland,79,47,55,61,59,59,52,56,58,84,82,52,61,61,9,7,14,
A. Trezza,Uruguay,86,55,58,61,50,66,52,51,61,84,73,62,55,60,9,12,9,
J. Quinteros,Bolivia,61,26,41,52,67,20,20,51,50,58,49,38,72,68,10,8,7,
M. Tamás,Hungary,63,28,49,41,65,52,21,53,54,53,39,42,66,67,13,11,8,
M. Martínez,Paraguay,,,,,,14,9,23,17,17,36,48,10,10,68,66,65,23
V. Mendoza,Ecuador,,,,,,10,7,15,13,31,39,50,11,14,66,68,67,31
N. Molina,Ecuador,66,43,56,57,64,42,50,61,66,64,62,39,66,59,7,10,14,
A. Johnston,Canada,74,43,53,61,63,51,39,54,62,75,70,55,66,62,8,9,11,
K. Fischer,Germany,73,38,60,64,62,62,35,59,65,73,63,44,65,61,7,13,10,
A. Forrest,Scotland,81,62,60,67,46,64,63,50,64,82,78,62,47,42,13,12,7,
M. Cho,France,75,66,53,68,24,55,68,39,68,76,60,68,17,16,9,6,7,
C. Reiner,Austria,41,29,54,40,66,42,22,58,52,34,32,46,68,63,12,11,6,
T. Ortega,Argentina,72,36,54,67,63,59,28,41,65,74,73,46,65,63,6,8,9,
D. Thiam,France,85,25,45,54,62,53,24,41,50,84,64,25,66,63,15,9,9,
I. Boura,France,67,47,53,69,62,68,48,44,69,71,68,46,69,66,14,14,9,
E. Martel,Germany,66,46,58,59,66,50,38,61,63,65,67,62,70,66,5,10,15,
Fabiano Souza,Brazil,80,34,46,60,61,55,21,41,62,82,61,66,65,60,9,10,11,
K. Caliskaner,Germany,75,60,52,67,21,30,62,48,70,67,65,64,12,12,6,6,6,
K. Ruiz-Atil,Morocco,67,54,64,72,44,54,53,65,71,69,81,60,55,53,8,8,9,
A. Dedić,Bosnia and Herzegovina,80,57,64,67,59,66,54,61,65,82,74,67,63,60,11,6,9,
Iago López,Spain,76,31,54,63,60,64,18,56,63,74,72,51,63,64,7,13,9,
F. Doucouré,Mali,79,37,56,65,61,59,31,52,64,78,85,58,64,66,14,10,6,
Luís Mata,Portugal,74,35,52,61,62,63,31,33,65,70,62,42,66,60,13,10,7,
N. Patterson,Scotland,81,44,57,63,62,62,38,55,62,80,72,60,63,63,7,13,8,
K. Fujimoto,Japan,74,59,62,69,30,65,55,52,70,73,74,66,28,31,12,7,14,
B. Letić,Bosnia and Herzegovina,66,57,52,62,63,60,58,30,64,68,59,59,72,70,8,14,9,
M. Rente,Germany,75,29,44,52,65,30,23,51,56,76,60,41,68,65,15,6,8,
F. Andueza,Uruguay,60,32,47,54,65,35,25,58,60,64,62,54,65,63,7,7,13,
M. Mitaj,Albania,76,34,63,63,59,67,31,68,63,75,66,35,66,66,8,13,12,
J. Oosterwolde,Netherlands,90,37,56,59,60,61,31,56,53,89,75,43,61,62,6,13,9,
S. Meza,Argentina,,,,,,14,8,23,14,28,31,44,11,14,69,62,68,30
Jean Patric,Brazil,86,64,58,69,30,63,69,51,65,88,74,66,28,34,13,9,11,
N. Castro,Argentina,68,66,59,67,34,68,69,47,70,69,55,70,35,38,9,14,14,
Martín Calderón,Spain,68,61,65,64,63,51,57,66,73,69,59,71,66,68,10,8,6,
S. Kennedy,Canada,82,29,42,46,66,26,24,50,50,80,47,42,70,68,12,11,9,
A. Cabrera,Argentina,64,51,63,62,61,53,48,67,66,62,61,63,62,58,9,11,15,
Ž. Rogelj,Slovenia,76,51,61,68,58,65,51,57,66,77,77,54,62,65,11,9,12,
Quintana,Spain,63,50,61,61,65,50,49,68,63,63,56,51,65,64,12,11,11,
Larrubia,Spain,67,58,65,70,36,60,58,64,68,71,81,54,34,37,11,11,12,
S. Tedić,Serbia,63,65,52,63,25,38,68,41,65,56,62,63,19,17,14,7,15,
D. Sinani,Luxembourg,65,68,68,65,41,68,67,68,66,62,65,72,43,42,10,14,12,
A. Çankaya,Turkey,63,45,59,60,66,51,40,62,62,62,59,66,68,67,14,11,15,
M. Braida,Argentina,74,67,56,69,29,63,69,44,66,76,73,73,29,32,15,6,10,
Meseguer,Spain,65,52,67,66,63,60,52,67,73,64,58,61,67,64,12,15,13,
Luiz Júnior,Brazil,,,,,,13,9,26,18,29,31,47,10,12,68,66,69,30
T. Dzvukamanja,Zimbabwe,74,70,51,65,32,45,73,44,59,75,68,70,31,29,7,14,13,
Yan Couto,Brazil,82,52,55,65,60,60,48,56,63,81,79,57,63,65,9,6,11,
A. Alipour,Iran,75,68,50,64,23,42,70,43,63,76,73,71,17,13,11,14,14,
R. Vilca,Peru,74,62,65,70,44,59,61,62,69,75,76,67,45,43,10,11,13,
O. Doumbia,Côte d'Ivoire,67,36,59,59,62,56,28,63,60,65,66,56,65,62,12,14,12,
C. Clark,United States,75,59,64,67,43,56,58,65,64,78,79,64,44,38,14,5,11,
E. Ramírez,Venezuela,51,66,46,60,22,33,70,32,60,51,58,65,12,11,10,6,6,
M. Gusto,France,78,49,60,65,59,64,44,57,66,76,69,60,63,64,10,6,11,
M. Portanova,Italy,66,59,68,67,52,64,61,70,69,65,59,66,57,55,8,8,14,
Terrats,Spain,58,43,61,61,64,47,35,65,67,55,60,59,69,67,8,9,11,
B. Aguirre,Argentina,68,37,47,59,65,59,31,46,59,69,60,45,65,67,8,11,14,
R. Toledo,Paraguay,62,57,60,65,60,46,62,66,64,60,61,47,62,53,14,11,7,
K. Moreno,Peru,73,26,54,52,62,70,23,58,55,73,65,29,61,55,12,5,11,
R. Fernández,Peru,73,58,59,68,26,65,58,38,68,73,71,63,27,22,12,8,12,
O. Noronha,Peru,62,69,44,61,20,26,72,33,58,61,50,68,14,13,7,10,6,
J. Fuentes,Peru,57,56,57,60,62,42,55,68,65,59,56,61,67,65,9,5,5,
I. Machuca,Argentina,80,54,59,72,40,54,52,58,71,83,86,64,38,43,7,12,5,
F. La Mantía,Venezuela,65,52,56,47,67,61,44,34,54,61,39,61,64,71,5,5,12,
V. Edvardsen,Sweden,63,68,58,62,32,59,70,54,65,62,57,69,57,27,6,14,5,
M. Cardozo,Paraguay,,,,,,14,5,24,15,32,32,49,12,13,65,64,68,32
V. Ayala,Paraguay,76,28,50,67,62,68,27,37,65,75,65,25,68,61,8,10,8,
Lautaro,Uruguay,65,67,46,65,20,27,72,40,70,69,56,62,16,13,8,8,6,
D. Pérez,Venezuela,69,67,40,64,27,33,72,28,66,62,61,66,15,15,14,8,10,
Jesús Vázquez,Spain,72,44,58,57,61,68,35,63,55,72,60,60,65,66,15,10,13,
André Amaro,Portugal,61,44,52,61,66,44,42,57,64,61,62,52,67,64,7,14,11,
R. Morales,Paraguay,69,67,44,65,23,28,72,27,68,72,68,66,20,29,13,12,13,
K. Nishiya,Japan,74,63,61,65,44,64,62,58,62,86,69,67,50,44,9,9,14,
D. Dioses,Peru,67,61,64,66,65,55,58,63,70,66,59,65,65,58,9,14,12,
M. Rogers,England,80,65,60,65,39,62,65,46,64,76,58,70,39,39,7,8,14,
N. Amarilla,Paraguay,60,29,50,35,68,55,23,58,35,58,48,35,70,67,12,12,9,
L. Hurtado,Bolivia,65,64,67,64,62,66,68,68,61,63,68,68,61,55,10,12,5,
S. Nakamura,Japan,60,66,64,66,61,58,63,68,68,62,67,71,63,55,6,12,12,
Y. Imazu,Japan,57,33,49,46,66,47,29,60,52,59,50,45,67,65,6,12,6,
E. Rivera,Bolivia,64,58,63,66,62,58,55,61,68,61,59,55,68,55,14,5,13,
A. Maglica,Croatia,58,70,54,62,40,52,74,49,68,61,59,67,38,35,15,6,7,
M. García,Argentina,75,44,59,65,60,65,42,54,64,74,70,51,66,67,14,11,9,
Arnau Martínez,Spain,69,40,55,62,66,60,33,44,65,72,60,53,70,68,10,7,9,
D. Kolinger,Croatia,53,27,34,37,65,24,20,41,36,51,35,55,66,65,11,15,8,
S. Radić,Croatia,61,37,49,46,66,29,38,60,59,59,52,48,67,63,11,11,12,
A. Hamdi,Egypt,69,60,65,72,53,53,59,68,71,71,78,74,59,35,8,12,7,
R. Piñeiro,Uruguay,81,60,62,68,26,64,60,62,66,82,74,65,25,28,10,14,9,
T. Palacios,Argentina,76,56,64,72,55,63,56,62,70,80,77,67,61,56,13,15,5,
A. Costa,Argentina,70,28,56,61,66,55,22,49,59,69,72,34,65,63,10,5,8,
D. Štefulj,Croatia,72,50,57,66,59,71,41,58,73,70,58,66,61,62,13,12,7,
J. López,Argentina,54,67,48,61,32,36,73,41,69,53,51,63,30,30,11,8,9,
J. Malatini,Argentina,70,31,57,65,61,64,28,56,65,68,67,28,65,63,13,13,13,
I. Maggi,Argentina,76,66,51,65,28,44,68,47,66,77,72,69,24,22,15,9,12,
A. Andrejević,Serbia,59,38,53,58,65,28,18,65,60,60,61,63,67,63,5,10,11,
Thiago Andrade,Brazil,83,63,56,70,41,61,61,49,67,82,83,69,57,54,11,7,11,
Miguel,Spain,71,40,47,58,64,59,43,35,60,72,66,48,67,66,14,10,10,
Kayky,Brazil,82,58,57,72,28,57,64,55,71,83,84,62,30,31,14,14,9,
E. Darboe,Gambia,62,46,61,62,63,52,40,64,69,72,54,58,65,65,7,5,8,
Carlos Domínguez,Spain,65,23,49,46,68,50,17,41,52,61,44,36,71,69,5,14,15,
A. Bangura,Netherlands,86,24,47,63,59,59,21,45,59,85,76,20,65,59,10,9,7,
Rubén,Spain,70,44,49,58,65,41,39,52,60,71,65,62,66,67,7,7,6,
E. Tavşan,Netherlands,86,60,59,66,24,58,61,53,63,87,80,63,21,19,12,5,11,
Chiquinho,Portugal,80,61,58,69,29,63,64,53,68,79,63,71,26,31,14,12,12,
Adílio Santos,Brazil,71,70,61,66,30,61,70,54,65,72,65,74,25,29,13,11,5,
Iker Seguín,Spain,68,57,67,63,39,69,59,64,66,65,53,63,33,29,15,14,14,
Olasagasti,Spain,64,50,64,59,61,51,51,69,61,67,64,62,64,62,14,13,12,
J. Blasco,France,67,40,52,54,63,61,44,37,55,66,53,47,71,68,6,8,7,
Rafael Santos,Brazil,62,26,38,43,65,26,22,23,66,55,45,37,71,70,6,9,6,
F. Zabala,Argentina,68,26,49,56,62,59,28,24,62,67,55,24,59,66,14,6,14,
Nuno Moreira,Portugal,71,62,65,70,33,63,66,62,70,70,67,69,35,30,15,8,9,
Tomás Silva,Portugal,74,51,68,67,53,63,43,70,71,73,62,65,55,50,15,12,5,
Ros,Spain,60,47,60,57,67,52,45,65,58,62,59,59,66,67,5,9,9,
E. Sahiti,Albania,83,60,56,70,29,61,58,42,68,81,83,74,24,27,14,12,5,
V. Međimorec,Croatia,70,38,34,41,67,27,38,37,46,69,69,47,66,61,8,11,10,
Luiz Felipe,Brazil,,,,,,10,5,27,11,30,36,50,10,14,68,68,65,25
D. Peretz,Israel,67,54,64,62,63,50,55,70,64,68,58,58,65,63,14,10,10,
E. Guerrero,Colombia,72,66,56,69,27,65,65,46,70,73,65,69,21,58,9,9,10,
Rodrigo Conceição,Portugal,71,39,49,66,62,54,30,44,68,68,56,71,69,67,12,7,9,
Álex Balde,Spain,76,35,53,66,62,67,40,42,69,74,59,44,61,60,5,8,13,
E. Daniel,Czech Republic,76,62,62,65,30,66,65,60,67,81,65,65,28,28,5,14,10,
Beñat Prados,Spain,66,65,65,68,60,64,66,68,73,69,75,72,64,45,15,8,8,
Gilson Tavares,Cape Verde Islands,80,65,56,71,20,53,67,48,69,77,60,66,18,20,12,12,8,
T. Persyn,Belgium,82,62,62,65,49,65,59,60,64,83,72,75,52,49,8,8,13,
Léo Chú,Brazil,74,68,58,68,30,64,74,53,66,76,75,66,35,27,13,5,11,
A. Burlamaqui,Peru,58,41,63,59,60,46,34,68,68,59,62,49,64,65,12,11,11,
Gavi,Spain,66,53,67,69,50,59,55,69,70,68,77,49,53,44,8,10,13,
N. Makhubela,South Africa,73,78,56,67,39,55,82,49,62,73,72,87,38,34,8,8,5,
P. Ndiaye,France,54,26,46,46,66,28,21,53,58,39,47,39,68,63,10,11,11,
M. Abline,France,75,68,54,69,23,41,70,53,68,77,71,68,22,18,13,14,9,
J. Boselli,Uruguay,71,67,50,71,23,39,67,46,73,69,67,74,21,17,8,7,11,
J. Bothroyd,England,29,65,59,60,28,51,64,56,68,30,31,71,21,22,16,10,16,
L. Grant,England,,,,,,19,17,40,34,41,48,52,13,19,65,67,63,39
A. Mannus,Northern Ireland,,,,,,13,11,30,22,30,50,45,20,13,63,66,64,36
D. Martin,England,,,,,,18,15,27,30,42,59,50,12,12,65,62,64,40
D. Lewington,England,32,35,63,59,64,66,22,63,61,33,67,51,67,63,7,12,14,
Y. Okubo,Japan,37,69,63,67,26,57,69,60,69,36,66,68,20,14,10,16,15,
A. Baptiste,England,44,38,52,54,64,56,29,51,55,38,51,55,64,62,12,13,9,
Saizar,Spain,,,,,,9,9,30,20,17,34,50,6,8,56,68,58,20
M. Roman,Romania,70,63,65,64,51,69,58,64,66,66,71,69,50,45,8,11,9,
Kang Min Soo,Korea Republic,53,38,49,53,65,43,33,46,58,55,61,53,68,68,11,8,14,
J. Rzeźniczak,Poland,65,46,54,56,62,53,43,58,50,64,74,62,62,63,9,16,9,
A. Akinfenwa,England,40,64,55,56,35,44,64,52,68,34,34,71,40,24,14,7,16,
R. Wood,England,31,35,46,43,65,41,35,43,50,30,29,45,65,64,7,14,10,
S. Holmén,Sweden,61,64,66,65,65,64,61,66,66,62,67,70,68,65,8,10,7,
A. Jaakkola,Finland,,,,,,15,12,34,12,58,55,44,14,11,65,63,64,58
M. Sonnleitner,Austria,66,36,49,50,64,32,29,57,55,65,60,42,61,63,11,16,14,
C. Bryson,Scotland,45,63,64,67,61,55,61,67,64,39,86,67,61,59,14,13,10,
A. Busteño,Uruguay,54,39,54,45,69,57,32,60,50,49,44,55,74,76,16,9,7,
J. Adelalla,Uruguay,61,61,63,69,51,64,50,53,75,65,70,71,59,62,7,16,9,
B. Watson,England,33,60,64,61,65,63,58,64,62,32,48,65,65,64,13,8,6,
D. Ousted,Denmark,,,,,,12,14,38,20,38,39,46,19,13,66,64,65,37
M. Jakobsen,Denmark,51,43,54,55,63,54,31,58,57,50,61,57,64,62,6,11,9,
A. Keogh,Republic of Ireland,63,64,60,63,37,58,65,53,63,60,67,67,39,34,13,9,15,
J. Walsh,Wales,64,40,55,53,64,57,39,59,58,59,67,49,66,64,14,10,9,
Oh Beom Seok,Korea Republic,65,58,64,61,64,65,54,63,61,65,67,65,69,64,13,10,6,
S. Whalley,England,88,63,60,68,42,63,63,56,64,86,88,67,43,36,12,16,10,
O. Hoban,Romania,37,57,60,57,66,44,51,62,58,44,50,63,66,63,6,12,11,
C. Daniels,England,52,58,65,64,65,70,50,64,65,53,61,71,66,65,14,16,7,
M. Oyola,Ecuador,63,56,66,64,59,58,58,64,68,62,64,54,58,54,9,11,15,
J. Parr,Norway,69,56,59,64,62,62,57,59,63,68,75,58,63,61,6,8,7,
E. Castillo,United States,72,57,61,64,60,62,52,56,63,73,73,69,62,62,14,8,10,
L. Craig,Scotland,43,66,68,66,61,70,62,65,67,47,64,70,60,59,7,13,14,
J. Troisi,Australia,62,63,68,65,48,65,60,67,65,63,68,67,55,50,12,10,13,
E. Gutiérrez,Argentina,52,69,55,61,32,50,75,58,62,51,62,70,27,25,14,6,12,
M. Bostwick,England,33,57,48,45,63,41,49,50,48,32,32,74,64,60,15,13,9,
L. Akins,England,73,64,59,64,59,63,64,56,63,75,72,69,59,58,11,12,11,
L. Stevenson,Scotland,68,42,58,60,62,57,43,58,61,70,67,53,64,61,6,12,9,
J. Horn,Norway,60,29,50,41,62,42,17,60,58,59,50,54,62,62,7,9,6,
M. Bottani,Switzerland,87,65,57,72,39,58,69,50,71,89,86,65,41,36,6,12,14,
Kwoun Sun Tae,Korea Republic,,,,,,10,16,34,24,39,64,47,14,20,64,63,64,42
Kim Chang Soo,Korea Republic,64,59,61,64,62,57,59,62,64,65,66,55,62,63,7,12,9,
K. Özer,Turkey,72,63,64,71,35,66,65,60,72,70,69,64,39,33,11,13,14,
Canella,Spain,69,49,59,64,62,62,44,60,63,67,70,59,59,58,12,10,16,
C. Cortés,Chile,57,61,68,66,45,62,61,69,69,59,58,59,38,42,15,15,12,
D. Worrall,England,78,60,62,66,54,66,59,57,63,80,82,64,54,54,6,9,14,
B. Knighton,United States,,,,,,17,10,25,16,59,39,48,12,12,66,63,65,55
N. Gerzić,Sweden,38,49,69,69,56,65,40,69,71,46,65,57,58,47,13,9,15,
A. Ríos,Argentina,59,65,63,66,38,55,65,65,66,62,72,70,40,22,13,16,15,
Qin Sheng,China PR,48,52,60,57,62,56,44,67,62,49,56,69,67,65,8,6,10,
J. Spearing,England,54,52,63,65,63,59,49,65,62,55,78,60,63,63,6,14,11,
E. Domaschke,Germany,,,,,,11,10,23,22,36,41,48,15,10,65,64,66,38
Marco Soares,Cape Verde Islands,66,56,60,63,61,52,45,65,65,67,52,75,66,61,8,12,9,
F. Ojo,Belgium,67,60,64,67,60,64,57,65,66,69,80,67,62,59,11,16,14,
E. Paartalu,Australia,43,57,57,54,63,43,49,64,60,45,35,69,65,63,7,6,11,
Á. Bogdán,Hungary,,,,,,15,11,12,18,52,35,47,11,16,66,61,67,54
M. Kramer,Netherlands,41,64,56,56,35,47,67,57,62,38,51,66,32,34,12,13,10,
G. Madine,England,49,66,51,61,32,42,65,39,66,46,53,70,23,19,11,7,10,
A. Clayton,England,53,59,64,61,63,65,56,66,61,53,62,68,67,66,14,9,10,
